Clave ,Descripci—n ,L’nea ,Unidad de entrada ,Fecha de œltima compra ,Fecha de œltima venta ,Existencias 
ANAQ61,ANAQUEL 60X85X180 C/6 CAL 22-14,NA  F,PIEZA,06/09/17,13/05/17,0
ANAQ62,ANAQUEL 60X85X180 C/6  CAL-26-14,NA  F,PIEZA,24/03/17,,0
ANAQC14,ANAQUEL 40X85X200 C/5 E C/22 P14,NA  F,PIEZA,18/08/17,21/08/17,0
ANAQP30-6,ANAQ CARGA PESADA 30X85X200 C/6 CH CAL22,NA  F,Pieza,18/02/16,15/02/16,0
ANAQP60-6,ANAQ CARGA PESADA 60X85X200 C/6 CH CAL22,NA  F,Pieza,18/02/16,15/02/16,0
ANGELICA,PARA CHECAR PRECIOS,    A,PIEZA,,,0
ANT1,ANTICIPO 1,SERV,No aplica,25/02/15,27/10/15,0
ANT9,ANTICIPO 9,,No aplica,,,0
ANTEC01,ANTECOMEDOR MHERA IBIZA 4 SILLAS,NB  F,PIEZA,26/01/12,26/01/12,0
ANTIESET5,ANTIVIRUS SAMART SECURITY ESET V5 3 LIC.,JB  F,PIEZA,15/08/12,15/08/12,0
ANTIKAS1,ANTIVIRUS KASERSKY VERS-2014 10 USUARIOS,U   F,PIEZA,28/07/14,28/07/14,0
ANTIKAS2,ANTIVIRUS KASPERSKY VER. 2015,JB  F,PIEZA,27/08/15,27/08/15,0
ANTIKAS3,ANTIV KASPRSKY INTERNET SECURITY 10 USRS,JB  F,PIEZA,31/08/15,,0
ANTIKAS4,ANTIVIRUS KASPERSKY 1USR/1A„O,JB  F,PIEZA,20/10/15,16/10/15,0
ANTMUEB,ANTICIPO POR ELABORACION MUEBLE OFICINA,SERV,No aplica,31/03/18,04/04/18,0
APAR01,APARATO AROM GLADE AUTO MAN/C,BN  E,PIEZA,26/11/15,30/11/15,0
APLAS15,APUNTADOR LASER DE LARGO ALCANCE LAS-015,U   F,Pieza,11/02/14,24/02/14,0
APLICAD01,"APLICADOR PARA PELICULA 18""",OBC C,PIEZA,28/08/15,28/08/14,0
ARCH-ESP,ARCHIVERO VERTICAL MED ESP 1 GAV 2 CAJ,MICH,PIEZA,05/06/15,29/04/15,0
ARCH002,ARCHIVADOR PRINTA T/C PLASTI REGCAR,OG  C,PIEZA,16/02/18,16/02/18,0
ARCH002A,ARCHIVADOR PRINTA T/O,OG  C,PIEZA,10/07/15,19/02/18,7
ARCH003,ARCHIVADOR LEFORT T/O OPACO,OG  C,PIEZA,02/04/18,02/04/18,74
ARCH004,ARCHIVADOR LEFORT T/C COLOR,OG  C,PIEZA,04/05/17,19/02/10,46
ARCH005,ARCHIVADOR LEFORT T/ESQ OPACO,OG  C,PIEZA,09/03/18,09/03/18,45
ARCH006,ARCHIVADOR LEFORT T/MEM OPACO,OG  C,PIEZA,25/08/17,28/02/18,40
ARCH007,ARCHIVADOR LEFORT T/C OPACO,PESPE,PIEZA,26/03/18,05/04/18,237
ARCH008,ARCHIVADOR LEFORT T/C ECOLOGICO,OG  C,PIEZA,10/04/13,08/09/14,0
ARCH01,ARCH C/LOMO COLOR LEITZ LZ108095 NEGRO,OG  C,PIEZA,25/10/14,29/10/14,0
ARCH05,ARCHIV OFICIO CORRUGADO,OU  C,PIEZA,17/10/13,30/11/13,0
ARCH09,ARCHIVADOR ACCO FILE T/C,OG  C,PIEZA,28/06/13,27/06/13,9
ARCH106M,ARCHIV. MOV. 106 MELAMINA  1 GAV+1 CAJON,NC  F,PIEZA,15/04/16,15/04/16,0
ARCH23013,23013 ARCHIVO ESCRIT DECOFLEX C/5 FOLDER,OG  C,PIEZA,03/01/18,07/03/18,0
ARCH6026,6026-HI01  ARCHIVERO 2 GAV METALICO AR,NC  F,PIEZA,09/03/18,15/03/18,0
ARCH6027,6027-HI01/HI03 ARCHIV 4 GAV METAL AR/GRS,NC  F,PIEZA,16/03/18,02/04/18,1
ARCH6027N,6027-HI02 ARCHIVERO 4 GAV  METALICO NG,NC  F,Pieza,10/02/18,23/03/18,0
ARCH6047,6047-MN2 ARCHIVERO 2 GAV METALICO AR,NC  F,PIEZA,06/11/15,27/04/16,0
ARCH6048,6048-MN2 ARCHIVERO 3 GAV METALICO AR,NC  F,PIEZA,23/11/15,,0
ARCH6049,6049 ARCHIV 4 GAV NOVA METALICO VERTICAL,NC  F,PIEZA,16/03/18,24/08/17,0
ARCHA10,ARCHIVADOR SUNSHINE T/C AZUL,OG  C,PIEZA,29/06/13,02/07/13,0
ARCHA4,ARCHIVADOR MAJOR T/C COLOR,OG  C,PIEZA,12/02/14,11/04/14,0
ARCHA5,ARCHIVADOR SUNSHINE T/C VERDE,OG  C,PIEZA,20/03/13,21/03/13,0
ARCHAA,ARCHIVADOR LUX T/ESQ OPACO,OG  C,PIEZA,24/09/16,07/03/18,51
ARCHAA1,ARCHIVADOR LUX T/C OPACO,OG  C,PIEZA,12/03/18,13/03/18,43
ARCHAA1A,ARCHIVADOR LUX T/C COLOR,OG  C,PIEZA,15/03/18,16/03/18,59
ARCHAA2,ARCHIVADOR LUX T/MEM OPACO,OG  C,PIEZA,12/03/18,13/03/18,15
ARCHAA2A,ARCHIVADOR LUX T/O,OG  C,PIEZA,15/03/18,22/03/18,20
ARCHB10,ARCHIVADOR BACO T/C,OG  C,PIEZA,08/03/17,14/03/17,51
ARCHB11,ARCHIVADOR BACO T/O,OG  C,PIEZA,12/08/0201,19/02/10,7
ARCHCAA1,ARCHIFUELLE MAE C/ASA T/C CAA-1CS,OG  C,PIEZA,16/05/15,16/05/15,0
ARCHESP,ARCHIVERO MICH ESPECIAL,MICH,PIEZA,06/05/15,13/12/17,0
ARCHEXA11,ARCHIF EXPANDIBLE ACME POP PA11 T/O,OF  C,PQT C/12,18/09/12,20/09/12,0
ARCHEXA4,ARCHIF EXPANDIBLE ACME A412N T/C,OF  C,PIEZA,18/06/13,12/12/14,0
ARCHF01,ARCHIVADOR FORTEC T/O,OG  C,PIEZA,07/02/13,11/02/13,0
ARCHF02,22971 ARCHIF EXP 13 DIV TC NEGRO,DEPOT,PIEZA,23/01/18,24/01/18,3
ARCHF03,35618 ARCHIF EXP C/13DIV T/CHEQUERA,DEPOT,PIEZA,01/11/17,07/03/18,6
ARCHI01M,ARCHIVERO MOVIL DE 1 CAJON,NC  F,Pieza,01/04/16,19/02/10,0
ARCHI03,ARCHIVERO MOVIL DE 2 CAJONES,NC  F,PIEZA,21/11/17,22/11/17,0
ARCHI04,ARCHIVERO 2 GAV LAPICERO+ARCHIVERO,MICH,PIEZA,22/02/18,22/02/18,0
ARCHI04A,ARCHIVERO  2 GAV  METALICO MP,NC  F,PIEZA,18/05/15,25/05/15,0
ARCHI04B,ARCHIVERO 2 GAV MET OF VERTICAL,NC  F,PIEZA,09/06/16,15/02/16,0
ARCHI04C,ARCHIVERO 3 GAV 1 LAPICERO + 2 ARCHIVO,MICH,PIEZA,01/09/17,17/01/18,0
ARCHI04D,ARCHIVERO 3 GAV 2 LAPICERO + 1 ARCHIVO,MICH,PIEZA,23/03/18,23/03/18,0
ARCHI04J,ARCHIVERO 4 GAV METALICO NEGRO CAL 22,NC  F,PIEZA,11/08/17,11/08/17,0
ARCHI05,ARCHIVERO 2 GAV VERTICAL,MICH,PIEZA,16/03/18,16/03/18,4
ARCHI06,ARCHIVERO 2 GAV MET C/24   VERTICAL,NC  F,PIEZA,11/05/17,23/02/18,0
ARCHI07,ARCHIVERO 2 GAV HORIZONTAL MADERA,MICH,PIEZA,01/03/18,01/03/18,2
ARCHI08,ARCHIVERO 3 GAV HORIZONTAL PREMIER,MICH,PIEZA,26/05/17,07/06/17,0
ARCHI09,ARCHIVERO 3 GAV METALICO  VERTICAL,NC  F,PIEZA,08/01/18,10/01/18,1
ARCHI10,ARCHIVERO 3 GAV VERTICAL CLASICO,MICH,PIEZA,23/03/18,02/04/18,5
ARCHI106,106XL ARCHIVERO 3 GAVET MELAMINA,NC  F,PIEZA,27/01/15,29/01/15,0
ARCHI11,ARCHIVERO 4 GAV METALICO VERTICAL,NC  F,PIEZA,17/03/18,20/03/18,2
ARCHI11A,ARCHIVERO 4 GAV HORIZONTAL CAL.22,NC  F,PIEZA,19/01/15,23/02/15,0
ARCHI12,ARCHIVERO 5 GAV VERTICAL,NC  F,PIEZA,06/05/13,07/05/13,0
ARCHI12A,ARCHIVERO 4 GAV HORIZONTAL,MICH,PIEZA,17/01/18,19/02/18,0
ARCHI12B,ARCHIVERO 4 GAV HORIZ CAJONES 2/2,MICH,PIEZA,16/05/16,18/05/16,0
ARCHI1B,ARCHIVERO 4 GAV. LINEA PREMIER VERTICAL,MICH,PIEZA,12/03/18,23/03/18,4
ARCHI25,ARCHIVERO 4 GAV METALICO VERTICAL,NC  F,PIEZA,21/01/16,21/01/16,0
ARCHI26,ARCHIVERO 4 GAV NEG  C/24 VERTICAL,NC  F,PIEZA,20/03/13,01/11/12,0
ARCHI305,305 ARCHIVERO MULTIGAVETAS MELAMINA,NC  F,PIEZA,27/01/15,29/01/15,0
ARCHI3B,ARCHIVERO 3 GAV LAPICERO 1 ARCHIVERO,MICH,Pieza,08/03/16,22/04/15,0
ARCHI3G,ARCHIVERO 3 GAV METALICO MP,NC  F,PIEZA,03/05/12,13/02/12,0
ARCHI3GM,ARCHIVERO MOVIL 3 GAVETAS LAPICERAS,MICH,PIEZA,22/01/18,01/02/18,0
ARCHI3GN,ARCHIVERO HORIZONTAL 3 GAV MET NG CAL.22,MICH,PIEZA,15/09/17,15/09/17,0
ARCHI4G,ARCHIVERO 4 GAV METALICO MP,NC  F,PIEZA,18/02/15,21/02/15,0
ARCHI4X,62999 ARCHIVERO VERTICAL 4 GAV NG,NC  F,Pieza,25/07/17,26/07/17,0
ARCHI6031,6031-HM03 ARCHIVERO 4 GAV METALICO GR,NC  F,PIEZA,09/03/15,25/05/15,0
ARCHI6032,6032-FF02  ARCHIV 3 GAVETAS C/CAJA FUER,NC  F,PIEZA,02/08/14,05/08/14,0
ARCHI9135,ARCHIVERO EASY 6 PTAS 100 NEGRO,NC  F,Pieza,21/12/15,21/12/15,0
ARCHIAC1,ISO030N ARCHIV ACME T/OF C/SEP V. COL,OF  C,Pieza,24/02/14,11/10/17,0
ARCHIAC2,"ISO01CN ARCHIV ACME T/CTA C/SEP HOR,",OF  C,Pieza,17/09/14,31/01/15,0
ARCHICE1,ARCHIVO CELICA C/13 DIV EXPAN 412 F/C,OF  C,PIEZA,27/08/14,14/05/15,0
ARCHIDEC1,23013 ARCHIVERO P/ ESCRIT DECOFLEX C/5,OG  C,PIEZA,26/03/15,28/03/15,0
ARCHIGA3,ARCHIGAVETA OFICIO LARGA,OG  C,PIEZA,26/08/13,28/08/13,0
ARCHIKA0,ARCHIFUELLE KAPA ESQUELA,OF  C,PIEZA,18/10/17,24/01/18,5
ARCHIKA1,ARCHIFUELLE KAPA CARTA,OF  C,PIEZA,14/03/18,04/04/18,13
ARCHIKA2,ARCHIFUELLE KAPA OFICIO,OF  C,PIEZA,14/03/18,17/03/18,7
ARCHIOD01,ARCHIFUELLE OD CARTA C/13 DIV,OF  C,PIEZA,,,0
ARCHIP3G,ARCHIVERO 3 GAV PENINSULAR,MICH,PIEZA,14/07/15,29/10/15,0
