Clave del artículo,Descripción del artículo,Línea,Unidad de entrada,Fecha de última compra,Fecha de última venta,Existencias, Precio 
ACORL19,ARCHIF PLAST MEMO F159 ESSELTE AZUL,OF  C,PIEZA,11/01/16,02/05/16,0, $52.98 
ACORL23A,ARCHIF CHEQUE PLASTICO MAE MCH-12,OF  C,PIEZA,19/05/14,06/09/14,0, $47.23 
ACORL24V,ARCHIF EXPAND P/CHEQ Y DCTOS 24 Div,OF  C,PIEZA,25/09/12,18/10/12,0, $96.43 
ACORL27,ARCHIF KCH-12CS T/CHEQ MAE COLOR SEN,OF  C,PIEZA,20/07/15,02/03/16,0, $48.69 
ACORL27B,ARCHIF ACME X5N OFICIO C/5,OF  C,PIEZA,18/11/17,11/11/17,5, $144.14 
ACORL28,ARCHIF A4-12CS T/C MAE COLOR SENSES,OF  C,PIEZA,11/11/15,13/11/15,0, $100.03 
ACORL28A,ARCHIF MAE FABRIC KA4-12 T/C,OF  C,PIEZA,09/04/18,04/06/18,5, $125.42 
ACORL28B,ARCHIF MAE FABRIC FC-12CS OFIC,OF  C,PIEZA,23/06/15,03/08/15,0, $94.77 
ACORL29,ARCHIFUELLE T/O MAE KFC-12,OF  C,PIEZA,30/10/17,12/02/18,4, $133.06 
ACORL30,ARCHIF MAE SL-1 T/CARTA LIGA,OF  C,PIEZA,14/11/12,16/11/12,0, $30.31 
ACORL33,ARCHIF PLAST OF F115 ESSELTE C/ASA,OF  C,PIEZA,20/08/15,17/06/10,0, $204.65 
ACORLX4N,ARCHIF CTA ACME X4N C/5 DIV,OF  C,PIEZA,03/03/18,09/05/18,8, $120.98 
ACRI1051,ACRILETA 1051 EJECUTIVA 150 X 120,OC  C,PIEZA,29/05/17,30/05/17,0," $2,215.86 "
ACRIL01,ACRILETA 90 x120 CUADRADA P/ALFROMBRA,DEPOT,PIEZA,05/04/18,10/04/18,0," $2,250.00 "
ACRIL07,ACRILETA RIGIDA OPCA 1.80x1.20,OC  C,PIEZA,11/10/12,17/10/12,0," $1,845.34 "
ACUA01,ACUARELA INFANTIL PELIKAN JR C/12 PLASTI,OD  C,PIEZA,09/06/18,13/06/18,11, $57.16 
ACUA03,ACUARELA INFANTIL PELIKAN C/6 CARTON,OD  C,PIEZA,19/08/15,17/03/16,0, $6.96 
ACUA04,ACUARELA ESCOLAR BACO C/6,OD  C,PIEZA,28/05/15,29/05/15,0, $5.61 
ACUA05,ACUARELA BARRI C/8 AC8G EST PLAST PINCEL,OD  C,PIEZA,11/07/13,,0, $28.81 
ACUA05A,ACUA BARR AC8E EST.C/8 PLAST Y PINCEL,OD  C,PIEZA,17/03/17,24/03/17,0, $25.02 
ACUADIX12,ACUARELA VINCI CARTON C/12,OD  C,PIEZA,29/02/16,16/03/16,0, $11.17 
ACUAPEL12,ACUAELA INF PELIKAN C/12 PAST Y PINCEL,OD  C,PIEZA,10/04/15,14/04/15,0, $8.53 
ACUASH12,ACUARELA SUNSHINE C/12 ESTUCHO PLASTICO,OD  C,Pieza,16/10/14,21/10/14,0, $12.69 
AD25A35S,ADAPTADOR JACK 2.5mm A PLUG 3.5mm ESTERE,ID  F,Pieza,06/05/14,22/05/14,0, $10.37 
ADAP01,ADAPTADOR PARA MANIVELA ALDO,MA  A,PIEZA,20/08/14,,0, $6.84 
ADAP02,ADAPTADOR USB A SERIAL DB9 DE 1.8M C/SOF,IA  F,PIEZA,17/08/17,17/08/17,0, $286.49 
ADAP53,ADAPTADOR OTAC-E53 19V/4.74 +USB,IA  F,PIEZA,28/11/14,28/11/14,0, $718.27 
ADAP530,ADAPTADOR P/LAPTOP HP530 OVALTECH,IA  F,PIEZA,24/09/15,,0, $669.44 
ADAP662,ADAPTADOR AC BROTHER PJ662,IA  F,PIEZA,13/08/15,13/08/15,0, $529.39 
ADAP710,710-ACDC ADAPTADOR P/DESP AUTOMATICO JOF,IA  F,PIEZA,24/04/15,30/04/15,0, $668.00 
ADAPC100,ADAPTADOR DE PODER EQ VOZ CISCO AC-754,IA  F,PIEZA,24/05/17,23/05/17,0, $475.95 
ADAPMA2,"ADAPTADOR ""Y"" DE USB A MINIDIN USB-560",IA  F,PIEZA,04/07/12,19/02/10,1, $99.33 
ADAPQCAST,ADAPTADOR BENQ CAST 1280X720 WIRELESS,FH  C,PIEZA,11/08/17,11/08/17,0," $1,678.56 "
ADAPT03,ADAPTADOR USB A PARALELO DE 1.8M C/SOFTW,IA  F,PIEZA,10/07/17,30/01/18,4, $351.00 
ADAPT04,ADAPT PARA LETRERO CON MARCO,U   F,PIEZA,29/06/15,04/03/15,0, $570.40 
AGEAB2020,AGENDA EJEC FORTEC AE-2020,OE  C,PIEZA,23/11/12,24/11/12,0, $101.33 
AGEAVA01,AGENDA AVANTE LIBRETA LD-01 ECO,OE  C,Pieza,03/12/16,19/02/10,0, $22.43 
AGEAVA1,AGENDA MEMORANDUM A10 AVANTE,OE  C,PIEZA,01/11/17,28/05/18,3, $99.79 
AGEAVA13,AGENDA  AVANTE  A-13 MEMO FLEX,OE  C,PIEZA,25/09/17,28/09/17,4, $94.86 
AGEAVA14,AGENDA AVANTE A-14,OE  C,PIEZA,25/09/17,12/10/17,1, $120.74 
AGEAVA2,AGENDA A-11 AVANTE MEMO CLASICA,OE  C,PIEZA,19/12/17,27/01/18,3, $94.86 
AGEAVA3,AGENDA EJECUTIVA A30 AVANTE STD,OE  C,PIEZA,09/02/18,10/02/18,5, $130.59 
AGEAVA34,AGENDA AVANTE A-34 EJEC PRINT,OE  C,PIEZA,03/01/18,18/01/18,0, $134.29 
AGEAVA4,AGENDA BOLSILLO A-01 AVANTE,OE  C,PIEZA,15/11/13,13/03/15,0, $34.50 
AGEAVA42,AGENDA AVANTE A-42 TIPO CHEQUERA,OE  C,PIEZA,25/09/17,12/10/17,2, $64.06 
AGEAVA51,AGENDA AVANTE A-51 ESPAÑOLA PRINT,OE  C,PIEZA,04/12/17,16/05/18,5, $199.58 
AGEAVA52,AGENDA AVANTE A-52 ESPAÑA,OE  C,PIEZA,25/09/17,31/05/18,0, $203.28 
AGEAVA61,AGENDA  AVANTE A-61 CARTA PRINT,OE  C,PIEZA,19/12/17,31/01/18,0, $183.57 
AGEAVA8B,AGENDA ESPAÑOLA AVANTE A-53,OE  C,PIEZA,12/05/18,14/05/18,1, $203.28 
AGEHA35,AGENDA HAZEL 358 BOLSILLO LUJO,OE  C,PIEZA,21/01/13,06/12/11,0, $60.49 
AGENA12,AGENDA AVANTE A-12 MADRID,OE  C,PIEZA,08/01/18,23/04/18,0, $80.08 
AGENA16,AGENDA AVANTE A-16 MEMO STRIP,OE  C,PIEZA,23/10/17,26/10/17,0, $131.82 
AGENA31,AGENDA A-31 AVANTE,OE  C,PIEZA,11/01/18,10/02/18,1, $115.81 
AGENA33,AGENDA  AVANTE A-33 EJECUTIVA,OE  C,PIEZA,11/01/18,18/01/18,0, $103.49 
AGENA503,AGENDA A-503 BOLSILLO AMERICA,OE  C,PIEZA,03/12/14,28/04/15,0, $22.18 
AGENA54,AGENDA AVANTE A-54 ITALY,OE  C,PIEZA,08/01/18,06/02/18,2, $235.31 
AGENA62,AGENDA AVANTE A-62 PRESTIGE,OE  C,PIEZA,23/10/17,26/10/17,0, $235.31 
AGENAT3,AGENDA EJECUTIVA 359 LUJO ATAPCO,OE  C,PIEZA,03/12/14,18/03/15,0, $156.71 
AGENAT4,AGENDA EJECUTIVO 360 ATAPCO 22x20c,OE  C,PIEZA,11/01/16,05/02/16,0, $109.65 
AGENAT8,AGENDA CAJA AVANTE A-20,OE  C,PIEZA,11/01/18,12/01/18,1, $120.74 
AGENAT9,AGENDA AVANTE A-41 INGL,OE  C,PIEZA,07/11/17,27/11/17,1, $59.14 
AGENF1160,AGENDA FORTEC ADM-1160 FIUSHA,OE  C,PIEZA,16/01/12,18/01/12,0, $175.51 
AGENF1161,AGENDA FORTEC ADM-1161 NARANJA,OE  C,PIEZA,16/01/12,18/01/12,0, $175.51 
AGENJUM,CALENDARIO JUMBO AMERICA,OE  C,PIEZA,09/01/18,03/03/18,22, $30.43 
AGENJUN,AGENDA JUMBO P/BASE 2018 BLANCA,OE  C,Pieza,26/02/18,05/03/18,4, $29.08 
AGUAB1,AGUA 24/250ML,EA  E,PIEZA,20/08/13,,0, $68.15 
AGUAB2,AGUA BONAFON 600ML C/24,EA  E,PIEZA,22/03/17,23/03/17,0, $117.74 
AGUABB,AGUA EMBOTELLADA 500 mls,EB  E,PIEZA,30/07/15,,0, $2.58 
AICOM06,AIRE COMPRIMIDO PC30300 340GRS,GA  A,PIEZA,17/05/18,09/06/18,25, $81.51 
ALFIM03,ALFILER MAPA GYC COLOR,OEG C,PIEZA,29/03/10,22/09/05,0, $16.70 
ALFIM05,PINS PARA CORCHO MAE PP-100T C/100,OEG C,PIEZA,15/05/18,08/06/18,20, $19.71 
ALFIM05A,PINS PARA CORCHO MAE PP-100,PESPE,Pieza,28/05/18,31/05/18,35, $19.89 
ALFIMA0,ALFILER ABEL MAP PINS  ALFIPON,OEG C,CAJA,05/12/11,08/06/12,0, $10.46 
ALFIMA1,ALFILER MAPAS PUSH PING ACCO,OEG C,PIEZA,08/01/16,14/01/16,0, $19.34 
ALFIMA1A,ALFILER MAPAS ACCO P1167 PUSH PING,OEG C,PIEZA,10/09/12,03/06/13,0, $14.17 
ALFIMA2,PINS ACME PIN13 COL. SURTIDOS C/100,OEG C,PIEZA,08/04/14,18/05/15,0, $13.97 
ALIMKTCAT,ALIMENTO PARA MASCOTA (GATO),U   F,KILO,25/05/16,25/05/16,0," $1,064.65 "
ALIMKTDOG,ALIMENTO PARA MASCOTA (PERRO),U   F,KILO,23/12/16,19/02/10,0," $1,351.30 "
ALIMKTS01P,ALIMENTO PARA GATO WIHSKAS 85G,U   F,PIEZA,30/11/15,21/12/15,0, $10.91 
ALIMKTS02P,ALIMENTO PARA PERRO,U   F,PIEZA,30/11/15,21/12/15,0, $12.25 
ALMOHADASTD,ALMOHADA DECORADORA STD,SA  F,PIEZA,08/05/12,08/05/12,0, $90.52 
ALUMI01,ALUMINIO ALUHOME 45X150 MTS,ODM D,PIEZA,11/04/13,16/04/13,0, $321.03 
ALUMI02,ROLLO DE PAPEL ALUMINIO 50MTS,ODM D,PIEZA,01/11/12,07/11/12,0, $35.99 
ALUMI03,ALUMINIO DE HOJA C/500 PZAS,ODM D,PIEZA,11/04/13,16/04/13,0, $265.52 
ALUMI04,ALUMINIO 30X400MTS 3KILOS INIX,ODM D,PIEZA,15/04/13,16/04/13,0, $404.31 
ALUMI05,ALUMINIO ECONOMICO CHUTY 50 MTS.,ODM D,Pieza,24/02/14,03/03/14,0, $38.02 
ALUMI05B,ALUMINIO ECONOMICO CHUTY 100 MT,ODM D,Pieza,13/10/14,28/10/14,0, $60.34 
ALUMI06,PAPEL ALUMINIO ROLLO 400,ODM D,PIEZA,10/12/15,19/02/10,1, $250.18 
ANAQ00,ANAQUEL 30X85X200 C/5 ENT CAL.28-20,NA  F,PIEZA,05/05/18,31/05/18,7, $592.50 
ANAQ001,ANAQUEL 30X85X180 C/5 CAL 20-14,NA  F,PIEZA,25/04/14,29/04/14,0, $796.50 
ANAQ003,ANAQUEL 30X85X200  C/5 C/PESADA,NA  F,PIEZA,24/02/16,02/03/16,0, $796.50 
ANAQ004,ANAQUEL 30X85X220 C/4 C/LIVIANA,NA  F,PIEZA,08/05/17,11/05/17,0, $555.00 
ANAQ005,ANAQUEL 40X85X220  E C-28,NA  F,PIEZA,04/09/12,11/09/12,0, $789.00 
ANAQ006,ANAQUEL 40X85X220 C/6 CAL22,NA  F,PIEZA,20/08/15,28/08/17,0, $858.00 
ANAQ007,ANAQUEL 40X85X220 C/7 E CAL-14,NA  F,PIEZA,16/05/16,18/05/16,0," $1,453.50 "
ANAQ009,ANAQUEL 40X85X200 C/5E CAL.26-20 LIGERO,NA  F,PIEZA,19/10/17,23/10/17,0, $781.88 
ANAQ01,ANAQUEL 30X85X2.20 C/6 C-28,NA  F,PIEZA,28/02/12,07/03/12,0, $442.50 
ANAQ010,ANAQUEL 30X85X200 C/5 ENT C/LIV,NA  F,PIEZA,06/12/17,04/04/18,1, $592.50 
ANAQ010.,ANAQUEL 30X85X200 C/5 ENT CAL 20-14,NA  F,PIEZA,06/12/17,08/12/17,0, $988.50 
ANAQ011,ANAQUEL 220 C/5 E C/22 P14,NA  F,PIEZA,21/07/11,,0, $810.00 
ANAQ012,ANAQUEL 45X85X200 C/6 C/24,NA  F,PIEZA,15/03/12,15/03/12,0, $954.00 
ANAQ013,ANAQUEL 45X85X200 C9 E C/24 P18,NA  F,PIEZA,15/03/12,15/03/12,0," $1,266.00 "
ANAQ014,ANAQUEL 45X85X180C/4 CAL-20-14,NA  F,PIEZA,24/04/18,24/04/18,0," $1,212.00 "
ANAQ015,ANAQUEL 30X85X180 C/6 ENT CAL.2002-14,NA  F,PIEZA,26/04/16,14/05/15,0, $873.00 
ANAQ016,ANAQUEL 30X85X2.00 C/6 C/LIVIANA,NA  F,PIEZA,13/05/16,27/05/16,0, $885.00 
ANAQ017,ANAQUEL 40X85X200 C/5 E CAL. 22-14,NA  F,Pieza,17/03/18,09/03/17,0," $1,312.50 "
ANAQ05,ANAQUEL 45X85X200 C/5 E CAL.20-14,NA  F,PIEZA,05/05/18,10/05/18,0," $1,273.50 "
ANAQ15,ANAQUEL 45X85X200 C/6 E CAL 22-14,NA  F,PIEZA,29/05/18,30/05/18,0," $1,740.00 "
ANAQ18,ANAQUEL 60x85x180 C/4 E CAL 22-14,NA  F,Pieza,07/09/17,05/01/18,0, $-   
ANAQ19,ANAQUEL 60x85x180 C/5 E CAL 26-18,NA  F,Pieza,07/09/17,15/09/17,0, $-   
ANAQ20,ANAQUEL 45X85X220 C/5 CAL.22-14,NA  F,PIEZA,17/03/18,25/09/17,0," $1,273.50 "
ANAQ21,ANAQUEL 40X85X120 C/3 E CAL.26-18,NA  F,PIEZA,05/12/17,,0, $594.00 
ANAQ22,ANAQUEL 45X85X180 C/4 E CAL 22-14,NA  F,PIEZA,20/02/18,14/05/18,1, $-   
ANAQ60,ANAQUEL 60X85X180 C/5 C/PESADA POSTE14,NA  F,PIEZA,17/05/18,21/05/18,1," $1,857.00 "
ANAQ60A,ANAQUEL 60X85X180 C/6 CAL 26-18,NA  F,PIEZA,06/09/17,05/01/18,0, $997.50 
ANAQ61,ANAQUEL 60X85X180 C/6 CAL 22-14,NA  F,PIEZA,06/09/17,13/05/17,0," $1,248.00 "
ANAQ62,ANAQUEL 60X85X180 C/6  CAL-26-14,NA  F,PIEZA,24/03/17,,0," $1,449.00 "
ANAQC14,ANAQUEL 40X85X200 C/5 E C/22 P14,NA  F,PIEZA,18/08/17,21/08/17,0," $1,168.50 "
ANAQP30-6,ANAQ CARGA PESADA 30X85X200 C/6 CH CAL22,NA  F,Pieza,18/02/16,15/02/16,0, $885.00 
ANAQP60-6,ANAQ CARGA PESADA 60X85X200 C/6 CH CAL22,NA  F,Pieza,18/02/16,15/02/16,0," $1,353.00 "
ANGELICA,PARA CHECAR PRECIOS,    A,PIEZA,,,0, $67.50 
ANT1,ANTICIPO 1,SERV,No aplica,25/02/15,27/10/15,0, $-   
ANT9,ANTICIPO 9,,No aplica,,,0, $-   
ANTEC01,ANTECOMEDOR MHERA IBIZA 4 SILLAS,NB  F,PIEZA,26/01/12,26/01/12,0," $5,673.75 "
ANTIESET5,ANTIVIRUS SAMART SECURITY ESET V5 3 LIC.,JB  F,PIEZA,15/08/12,15/08/12,0," $1,291.82 "
ANTIKAS1,ANTIVIRUS KASERSKY VERS-2014 10 USUARIOS,U   F,PIEZA,28/07/14,28/07/14,0," $2,309.56 "
ANTIKAS2,ANTIVIRUS KASPERSKY VER. 2015,JB  F,PIEZA,27/08/15,27/08/15,0," $2,039.22 "
ANTIKAS3,ANTIV KASPRSKY INTERNET SECURITY 10 USRS,JB  F,PIEZA,31/08/15,,0," $2,039.22 "
ANTIKAS4,ANTIVIRUS KASPERSKY 1USR/1AÑO,JB  F,PIEZA,20/10/15,16/10/15,0, $369.38 
ANTMUEB,ANTICIPO POR ELABORACION MUEBLE OFICINA,SERV,No aplica,31/05/18,12/06/18,0, $-   
APAR01,APARATO AROM GLADE AUTO MAN/C,BN  E,PIEZA,26/11/15,30/11/15,0, $169.40 
APLAS15,APUNTADOR LASER DE LARGO ALCANCE LAS-015,U   F,Pieza,11/02/14,24/02/14,0, $146.30 
APLICAD01,"APLICADOR PARA PELICULA 18""",OBC C,PIEZA,28/08/15,28/08/14,0," $1,302.00 "
ARCH-ESP,ARCHIVERO VERTICAL MED ESP 1 GAV 2 CAJ,MICH,PIEZA,05/06/15,29/04/15,0, $-   
ARCH002,ARCHIVADOR PRINTA T/C PLASTI REGCAR,OG  C,PIEZA,28/05/18,29/05/18,0, $32.64 
ARCH002A,ARCHIVADOR PRINTA T/O,OG  C,PIEZA,10/07/15,19/02/18,7, $27.88 
ARCH003,ARCHIVADOR LEFORT T/O OPACO,OG  C,PIEZA,06/06/18,06/06/18,116, $42.57 
ARCH004,ARCHIVADOR LEFORT T/C COLOR,OG  C,PIEZA,04/05/17,30/04/18,42, $36.72 
ARCH005,ARCHIVADOR LEFORT T/ESQ OPACO,OG  C,PIEZA,09/03/18,09/03/18,45, $38.64 
ARCH006,ARCHIVADOR LEFORT T/MEM OPACO,OG  C,PIEZA,25/08/17,29/05/18,34, $36.90 
ARCH007,ARCHIVADOR LEFORT T/C OPACO,PESPE,PIEZA,07/05/18,12/06/18,470, $40.87 
ARCH008,ARCHIVADOR LEFORT T/C ECOLOGICO,OG  C,PIEZA,10/04/13,08/09/14,0, $40.77 
ARCH01,ARCH C/LOMO COLOR LEITZ LZ108095 NEGRO,OG  C,PIEZA,25/10/14,29/10/14,0, $59.54 
ARCH05,ARCHIV OFICIO CORRUGADO,OU  C,PIEZA,17/10/13,30/11/13,0, $23.17 
ARCH09,ARCHIVADOR ACCO FILE T/C,OG  C,PIEZA,28/06/13,27/06/13,9, $29.92 
ARCH106M,ARCHIV. MOV. 106 MELAMINA  1 GAV+1 CAJON,NC  F,PIEZA,15/04/16,15/04/16,0," $1,733.34 "
ARCH23013,23013 ARCHIVO ESCRIT DECOFLEX C/5 FOLDER,OG  C,PIEZA,03/01/18,07/03/18,0, $235.31 
ARCH6026,6026-HI01  ARCHIVERO 2 GAV METALICO AR,NC  F,PIEZA,31/05/18,31/05/18,0," $2,609.32 "
ARCH6027,6027-HI01 ARCHIV 4 GAV METAL ARENA,NC  F,PIEZA,08/06/18,11/06/18,0," $4,278.78 "
ARCH6027G,6027-HI03 ARCHIV 4 GAV METAL GRIS,NC  F,PIEZA,28/05/18,31/05/18,0," $4,278.78 "
ARCH6027N,6027-HI02 ARCHIVERO 4 GAV  METALICO NG,NC  F,Pieza,28/05/18,13/06/18,1," $4,278.78 "
ARCH6047,6047-MN2 ARCHIVERO 2 GAV METALICO AR,NC  F,PIEZA,06/11/15,27/04/16,0," $2,062.57 "
ARCH6048,6048-MN2 ARCHIVERO 3 GAV METALICO AR,NC  F,PIEZA,08/05/18,08/05/18,0," $2,796.55 "
ARCH6049,6049 ARCHIV 4 GAV NOVA METALICO VERTICAL,NC  F,PIEZA,16/03/18,24/08/17,0," $5,638.78 "
ARCHA10,ARCHIVADOR SUNSHINE T/C AZUL,OG  C,PIEZA,29/06/13,02/07/13,0, $25.05 
ARCHA4,ARCHIVADOR MAJOR T/C COLOR,OG  C,PIEZA,12/02/14,11/04/14,0, $36.08 
ARCHA5,ARCHIVADOR SUNSHINE T/C VERDE,OG  C,PIEZA,20/03/13,21/03/13,0, $24.54 
ARCHAA,ARCHIVADOR LUX T/ESQ OPACO,OG  C,PIEZA,24/09/16,29/05/18,45, $22.77 
ARCHAA1,ARCHIVADOR LUX T/C OPACO,OG  C,PIEZA,07/05/18,01/06/18,92, $25.26 
ARCHAA1A,ARCHIVADOR LUX T/C COLOR,OG  C,PIEZA,18/04/18,02/06/18,66, $32.05 
ARCHAA2,ARCHIVADOR LUX T/MEM OPACO,OG  C,PIEZA,31/05/18,01/06/18,15, $24.02 
ARCHAA2A,ARCHIVADOR LUX T/O,OG  C,PIEZA,09/04/18,04/06/18,0, $27.72 
ARCHB10,ARCHIVADOR BACO T/C,OG  C,PIEZA,08/03/17,14/03/17,51, $44.48 
ARCHB11,ARCHIVADOR BACO T/O,OG  C,PIEZA,,19/02/10,7, $32.87 
ARCHCAA1,ARCHIFUELLE MAE C/ASA T/C CAA-1CS,OG  C,PIEZA,16/05/15,16/05/15,0, $133.49 
ARCHESP,ARCHIVERO MICH ESPECIAL,MICH,PIEZA,06/05/15,13/12/17,0," $1,650.00 "
ARCHEXA11,ARCHIF EXPANDIBLE ACME POP PA11 T/O,OF  C,PQT C/12,18/09/12,20/09/12,0, $90.16 
ARCHEXA4,ARCHIF EXPANDIBLE ACME A412N T/C,OF  C,PIEZA,18/06/13,12/12/14,0, $87.72 
ARCHF01,ARCHIVADOR FORTEC T/O,OG  C,PIEZA,07/02/13,11/02/13,0, $28.34 
ARCHF02,22971 ARCHIF EXP 13 DIV TC NEGRO,DEPOT,PIEZA,23/01/18,24/01/18,3, $140.94 
ARCHF03,35618 ARCHIF EXP C/13DIV T/CHEQUERA,DEPOT,PIEZA,01/11/17,12/05/18,6, $102.15 
ARCHI01M,ARCHIVERO MOVIL DE 1 CAJON,NC  F,Pieza,01/04/16,19/02/10,0," $1,425.00 "
ARCHI03,ARCHIVERO MOVIL DE 2 CAJONES,NC  F,PIEZA,21/11/17,22/11/17,0," $1,733.34 "
ARCHI04,ARCHIVERO 2 GAV LAPICERO+ARCHIVERO,MICH,PIEZA,22/02/18,22/02/18,0," $1,920.00 "
ARCHI04A,ARCHIVERO  2 GAV  METALICO MP,NC  F,PIEZA,18/05/15,25/05/15,0," $2,050.50 "
ARCHI04B,ARCHIVERO 2 GAV MET OF VERTICAL,NC  F,PIEZA,09/06/16,15/02/16,0," $2,050.55 "
ARCHI04C,ARCHIVERO 3 GAV 1 LAPICERO + 2 ARCHIVO,MICH,PIEZA,01/09/17,17/01/18,0, $-   
ARCHI04D,ARCHIVERO 3 GAV 2 LAPICERO + 1 ARCHIVO,MICH,PIEZA,06/06/18,07/06/18,0, $-   
ARCHI04J,ARCHIVERO 4 GAV METALICO NEGRO CAL 22,NC  F,PIEZA,11/08/17,11/08/17,0," $2,250.00 "
ARCHI05,ARCHIVERO 2 GAV VERTICAL,MICH,PIEZA,12/06/18,12/06/18,8," $1,655.63 "
ARCHI06,ARCHIVERO 2 GAV MET C/24   VERTICAL,NC  F,PIEZA,07/04/18,26/04/18,0," $2,305.50 "
ARCHI07,ARCHIVERO 2 GAV HORIZONTAL MADERA,MICH,PIEZA,07/05/18,25/05/18,4," $1,920.00 "
ARCHI08,ARCHIVERO 3 GAV HORIZONTAL PREMIER,MICH,PIEZA,26/05/17,07/06/17,0," $2,700.00 "
ARCHI09,ARCHIVERO 3 GAV MET GRIS VERT CAL 24,NC  F,PIEZA,23/05/18,30/05/18,0," $3,420.00 "
ARCHI10,ARCHIVERO 3 GAV VERTICAL CLASICO,MICH,PIEZA,23/05/18,23/05/18,6," $2,220.00 "
ARCHI106,106XL ARCHIVERO 3 GAVET MELAMINA,NC  F,PIEZA,27/01/15,29/01/15,0," $3,765.81 "
ARCHI11,ARCHIVERO 4 GAV MET GRIS VERTICAL CAL.24,NC  F,PIEZA,29/05/18,30/05/18,0," $4,155.00 "
ARCHI11A,ARCHIVERO 4 GAV HORIZONTAL CAL.22,NC  F,PIEZA,19/01/15,23/02/15,0," $4,845.00 "
